V1,V2
X,990410.0
Y,1357327.0
X,951189.0
Y,1189104.0
Y,1379637.0
Y,918678.0
X,991209.0
Y,1008739.0
Y,884438.0
Y,1185693.0
Y,980119.0
Y,1023500.0
X,886458.0
X,1192064.0
X,1020910.0
X,891258.0
Y,884758.0
Y,992969.0
X,964800.0
Y,984260.0
Y,969780.0
Y,986009.0
X,912838.0
Y,861237.0
Y,1040170.0
Y,1068851.0
Y,860487.0
Y,896028.0
Y,997490.0
X,1076891.0
X,932679.0
X,939839.0
X,1005379.0
X,880797.0
Y,914998.0
Y,1187223.0
Y,985150.0
Y,941188.0
Y,994790.0
X,1011189.0
X,878177.0
Y,900718.0
X,880848.0
Y,862547.0
Y,969399.0
X,854897.0
X,1008830.0
Y,1029570.0
Y,932188.0
Y,851167.0
Y,1012280.0
Y,1310316.0
Y,884837.0
Y,1033841.0
Y,1000999.0
Y,945178.0
Y,954049.0
Y,999880.0
Y,998800.0
Y,897748.0
Y,990119.0
Y,1023250.0
Y,999920.0
X,897348.0
Y,933068.0
X,1022160.0
X,914218.0
X,1068341.0
Y,1022970.0
Y,860717.0
X,891867.0
Y,989000.0
X,997820.0
X,980870.0
Y,991800.0
Y,1039180.0
Y,881497.0
Y,904288.0
Y,1045981.0
Y,1044321.0
X,996079.0
X,849796.0
Y,967659.0
Y,992880.0
X,961209.0
X,1036600.0
Y,1005730.0
Y,884618.0
Y,868048.0
Y,984460.0
X,1027191.0
X,968629.0
Y,885638.0
X,1016010.0
X,950359.0
X,939409.0
Y,995520.0
Y,1017170.0
X,1145793.0
X,858377.0
X,1005620.0
X,1165643.0
Y,901538.0
X,1083772.0
X,1026830.0
Y,1007560.0
X,886358.0
X,992799.0
Y,1041061.0
Y,908687.0
Y,996499.0
X,1221665.0
X,888848.0
X,870827.0
Y,985130.0
Y,985089.0
Y,958879.0
Y,995420.0
X,1017931.0
Y,888457.0
Y,887967.0
X,1038161.0
X,953179.0
X,969789.0
Y,881638.0
X,1017270.0
X,914728.0
X,937438.0
Y,852827.0
X,1020870.0
X,986620.0
Y,916398.0
Y,1000009.0
Y,1220155.0
Y,1034811.0
X,1129463.0
Y,1047511.0
X,892478.0
X,988379.0
X,985969.0
X,1216144.0
X,917278.0
X,1052411.0
Y,1033780.0
Y,1061031.0
Y,1378027.0
X,1183953.0
Y,964859.0
X,1088082.0
Y,956309.0
Y,1050001.0
X,849917.0
X,1153452.0
Y,988249.0
Y,865867.0
X,1083351.0
Y,992549.0
X,875187.0
Y,907928.0
Y,1225204.0
Y,980589.0
X,940369.0
Y,950799.0
X,1263085.0
Y,954638.0
Y,844897.0
Y,1147503.0
Y,1072070.0
X,894278.0
Y,1242325.0
X,1122692.0
Y,855937.0
X,901628.0
X,944329.0
Y,949189.0
X,967140.0
Y,1162593.0
Y,1034771.0
X,992959.0
Y,941799.0
Y,1487430.0
X,1004880.0
Y,919138.0
Y,1045050.0
X,922369.0
Y,948288.0
X,996660.0
Y,1314006.0
X,853827.0
X,906238.0
X,1069971.0
X,1017920.0
X,911268.0
Y,1179743.0
Y,1223595.0
X,912389.0
Y,1070391.0
X,1053851.0
X,950099.0
X,991189.0
X,1001919.0
Y,1135992.0
Y,914458.0
X,965829.0
X,1334196.0
X,1257635.0
X,1051451.0
Y,1032300.0
Y,1003800.0
X,1157023.0
Y,1195513.0
X,951949.0
X,936408.0
Y,1257544.0
X,1123702.0
X,949659.0
X,1079881.0
X,1024951.0
Y,856507.0
X,963009.0
Y,1269365.0
X,1120972.0
Y,885087.0
X,1158692.0
Y,996840.0
X,852067.0
X,924249.0
Y,1185233.0
X,1312306.0
Y,853867.0
Y,1016890.0
X,1453939.0
Y,897008.0
Y,1085651.0
X,1162263.0
X,938098.0
Y,909578.0
Y,1304906.0
X,1145212.0
Y,894198.0
X,1178374.0
Y,991339.0
X,950489.0
X,1197223.0
X,958319.0
Y,913798.0
X,1139643.0
Y,1216594.0
Y,879328.0
X,914358.0
Y,1090892.0
Y,992259.0
X,1256975.0
Y,1251305.0
X,1020370.0
X,946948.0
X,1019690.0
X,1288556.0
Y,901688.0
Y,882857.0
Y,1041120.0
Y,1006900.0
Y,883517.0
X,1129453.0
Y,1263315.0
Y,875227.0
X,849277.0
Y,887747.0
Y,1026231.0
Y,1012849.0
Y,1203454.0
X,1260025.0
Y,1196724.0
X,1251855.0
X,1240464.0
Y,913929.0
X,964179.0
X,1214154.0
Y,862847.0
X,939439.0
X,1202503.0
Y,979179.0
Y,906188.0
Y,1116382.0
X,1027971.0
X,870767.0
X,946499.0
X,1004940.0
Y,1024330.0
Y,914187.0
Y,993680.0
Y,1300736.0
